id,title,text,prepro
40077,European Lunar Rover Secures Spot Aboard Blue Origin Blue Moon Mission,"Belgium’s Space Applications Services has secured a ride for its LUVMI-M rover aboard a Blue Origin Blue Moon Mark 1 lunar lander. The company announced the agreement on 23 September, saying the mission is on track to become Europe’s first fully commercial lunar rover mission. Although development of the LUVMI family has benefited from public […]
The post European Lunar Rover Secures Spot Aboard Blue Origin Blue Moon Mission appeared first on European Spaceflight.",belgium’s space application service ha secured ride luvmi rover aboard blue origin blue moon mark 1 lunar lander company announced agreement 23 september saying mission track become europe’s first fully commercial lunar rover mission although development luvmi family ha benefited public … post european lunar rover secures spot aboard blue origin blue moon mission appeared first european spaceflight
40074,Starfish Space’s first Otter servicing vehicle slated for Transporter-18,"Starfish Space has confirmed that its first full-scale Otter satellite servicing vehicle is complete and…
The post Starfish Space’s first Otter servicing vehicle slated for Transporter-18 appeared first on NASASpaceFlight.com.",starfish space ha confirmed first full scale otter satellite servicing vehicle complete and… post starfish space’s first otter servicing vehicle slated transporter 18 appeared first nasaspaceflight com
40075,New tests for rendezvous and docking interoperability,"Currently, space missions are one-shot affairs: satellites are sent to orbit to do their mission until they run out of fuel. The European Space Agency is working on a more sustainable future where satellites and spacecraft can rendezvous, dock, refuel, repair, recalibrate and even be repurposed for new missions indefinitely. ",currently space mission one shot affair satellite sent orbit mission run fuel european space agency working sustainable future satellite spacecraft rendezvous dock refuel repair recalibrate even repurposed new mission indefinitely
40076,Win a trip to ESA to witness BepiColombo arrive at Mercury,"Get ready to celebrate BepiColombo’s arrival at Mercury. Craft a welcoming message that could be a drawing, song, poem or any other art form and stand a chance to win a trip to mission control! ",get ready celebrate bepicolombo’s arrival mercury craft welcoming message could drawing song poem art form stand chance win trip mission control
40073,Record participation in ESA’s Industry Space Days 2026,"On 16–17 September, the European Space Agency (ESA) hosted a record 3100 visitors from Europe’s space industry for a two-day Industry Space Days (ISD) event at ESA’s ESTEC technical centre in the Netherlands. ",16–17 september european space agency esa hosted record 3100 visitor europe’s space industry two day industry space day isd event esa’s estec technical centre netherlands
40072,ESA Awards RFA €2.7 Million in New Funding for SaxaVord Operations,"The European Space Agency (ESA) has awarded Rocket Factory Augsburg (RFA) a contract amendment that will provide the company with €2.7 million in additional co-funding to support the build-out of the company’s launch and testing infrastructure at SaxaVord in Scotland. According to the agency, RFA is expected to resume preparations for static fire tests of […]
The post ESA Awards RFA €2.7 Million in New Funding for SaxaVord Operations appeared first on European Spaceflight.",european space agency esa ha awarded rocket factory augsburg rfa contract amendment provide company €2 7 million additional co funding support build company’s launch testing infrastructure saxavord scotland according agency rfa expected resume preparation static fire test … post esa award rfa €2 7 million new funding saxavord operation appeared first european spaceflight
40070,APOD: 2026 September 24 – The Ghosts of Five Supernovas,"APOD Science APOD APOD: 2026 September 24 –… Today’s APOD Archive Submissions Index Search Calendar RSS Education About Discuss   APOD Astronomy Picture of the Day Discover the cosmos! Each day a different image or photograph of our fascinating universe is featured, along with a brief explanation written by a professional astronomer. OriginalAnnotated The Ghosts […]",apod science apod apod 2026 september 24 –… today’s apod archive submission index search calendar rss education discus apod astronomy picture day discover cosmos day different image photograph fascinating universe featured along brief explanation written professional astronomer originalannotated ghost …
40071,Cloudy Cloak Over the Northwest,"A low-lying cloud layer brought autumn ambience to western Washington and Oregon, while mountainous areas near the coast remained above the pall.",low lying cloud layer brought autumn ambience western washington oregon mountainous area near coast remained pall
40069,"Swift Rescue Mission May Not Have Succeeded, But No Regrets",The bold mission to extend the lifetime of NASA’s Swift observatory is coming to an end in the next 24 hours. Almost exactly one year after NASA signed a contract […],bold mission extend lifetime nasa’s swift observatory coming end next 24 hour almost exactly one year nasa signed contract …
40068,NASA Modernizes Commercial Airline Systems,"NASA’s researchers know that when you settle into your seat on a commercial flight, you expect a smooth takeoff, views over the clouds, a steady descent, and hopefully an early arrival at your destination. But when your flight gets delayed on the tarmac instead of lifting off, or it ends up in a holding pattern […]",nasa’s researcher know settle seat commercial flight expect smooth takeoff view cloud steady descent hopefully early arrival destination flight get delayed tarmac instead lifting end holding pattern …
